entity_id,summary,biography,contribution,level
raghunatha-das-goswami,"Один из Шести Госвами; идеал отречения и прайоджана-ачарья, явивший высшую цель — служение Радхарани в настроении манджари.","Шрила Рагхунатха дас Госвами — один из Шести Госвами Вриндавана и идеал отречения. Он родился в богатейшей семье землевладельцев близ Саптаграмы в Бенгалии, но, влекомый к Шри Чайтанье, оставил несметное богатство и семью и присоединился к Господу в Джаганнатха-Пури.","В Пури Шри Чайтанья вверил Рагхунатху даса попечению Сварупы Дамодары, и шестнадцать лет он жил в их обществе, являя редчайшее отречение — почти не вкушая пищи и не зная сна, всецело погружённый в святое имя. После ухода Господа он поселился у Радха-кунды, которую заново явил, и до конца жизни пребывал в бхаджане. Его молитвы „Вилапа-кушманджали“ раскрывают сокровенное настроение служения Радхарани, и потому его почитают как прайоджана-ачарью — наставника в высшей цели жизни.",gold
krishnadasa-kaviraja,Автор „Шри Чайтанья-чаритамриты“ — самого авторитетного жизнеописания Шри Чайтаньи и сути Гаудия-богословия.,"Шрила Кришнадас Кавираджа Госвами — великий преданный и учёный, автор „Шри Чайтанья-чаритамриты“, наиболее авторитетного повествования о жизни и учении Шри Чайтаньи. Он родился в деревне Джхаматпур в Бенгалии и по велению Нитьянанды Прабху, явленному ему во сне, отправился во Вриндаван.","Во Вриндаване Кришнадас Кавираджа вошёл в общество Госвами, следуя по стопам Рупы и Рагхунатхи даса. На склоне лет, по просьбе вайшнавов и с благословения Божества, он создал „Шри Чайтанья-чаритамриту“, сохранившую глубочайшие наставления Махапрабху, особенно Его поздние игры и философию. Он написал также „Говинда-лиламриту“ и прославился безмерным смирением.",gold
vrindavana-dasa-thakura,Автор „Шри Чайтанья-бхагаваты“ — первого великого жизнеописания Махапрабху; его чтят как Вьясу игр Чайтаньи.,"Шри Вриндаван дас Тхакур — автор „Шри Чайтанья-бхагаваты“, первого великого повествования о жизни и играх Шри Чайтаньи. За этот труд его почитают как Вьясу игр Чайтаньи. Он был сыном Нараяни и преданным Нитьянанды Прабху.","Вриндаван дас Тхакур запечатлел игры Махапрабху, особенно Его детство и игры в Навадвипе, и с особой любовью прославил Нитьянанду Прабху. Его „Чайтанья-бхагавата“ заложила основу, которую впоследствии завершила „Чайтанья-чаритамрита“ Кришнадаса Кавираджи. Подобно тому как Вьясадева описал игры Кришны, Вриндаван дас описал игры Гауранги, и потому его зовут Вьясой Чайтанья-лилы.",gold
vishvanatha-chakravarti,„Жемчужина“ среди Гаудия-ачарьев; великий комментатор писаний и защитник чистого учения.,"Шрила Вишванатха Чакраварти Тхакур — один из величайших ачарьев Гаудия-вайшнавизма, живший на рубеже XVII–XVIII веков. Бо́льшую часть жизни он провёл во Вриндаване, посвятив себя изучению писаний и защите чистого учения преданности.","Вишванатха Чакраварти оставил множество комментариев — „Сарартха-даршини“ к „Шримад-Бхагаватам“ и „Сарартха-варшини“ к „Бхагавад-гите“, — а также трактаты „Мадхурья-кадамбини“ о развитии преданности и „Рага-вартма-чандрику“ о пути спонтанной любви. Когда в Джайпуре оспорили поклонение Радхе и Говиндаджи, он отстоял его, направив своего ученика Баладеву Видьябхушану составить ведантический комментарий Гаудиев. Его почитают как хранителя сиддханты — выводов преданных.",gold
baladeva-vidyabhushana,"Веданта-ачарья Гаудиев; составил „Говинда-бхашью“ — комментарий к „Веданта-сутре“, утвердивший школу как часть Брахма-Мадхва-Гаудия-сампрадаи.","Шрила Баладева Видьябхушана — великий знаток веданты, давший Гаудия-вайшнавам их собственный комментарий к „Веданта-сутре“. Изначально он был учёным школы Мадхвы (таттвавади), но, приняв учение Шри Чайтаньи, стал учеником Вишванатхи Чакраварти во Вриндаване.","Когда в Джайпуре противники потребовали у Гаудиев комментарий к „Веданта-сутре“, ставя под сомнение их право поклоняться Говиндаджи, Баладева Видьябхушана по благословению Самого Божества составил „Говинда-бхашью“. Этот труд выиграл диспут и утвердил школу как ветвь Брахма-Мадхва-Гаудия-сампрадаи, а её автор заслужил титул „Видьябхушана“ — „украшение знания“. Он написал также „Прамея-ратнавали“, „Сиддханта-ратну“ и „Гита-бхушану“.",gold
narottama-dasa-thakura,"Великий ачарья, поэт и проповедник; его бенгальские песни преданности поются Гаудиями по сей день.","Шрила Нароттама дас Тхакур — великий ачарья и поэт-преданный, родившийся около 1531 года в Кхетури (Бенгалия) в семье царя Кришнананды. Ещё в юности, омывшись в водах Падмы, он получил особую милость Шри Чайтаньи.","Придя во Вриндаван, Нароттама стал единственным учеником Локанатхи Госвами и учился у Дживы Госвами. Вернувшись в Бенгалию, он устроил знаменитый Кхетурский фестиваль, объединивший общину Гаудиев и установивший единые духовные нормы. Его бенгальские песни — „Прартхана“ и „Према-бхакти-чандрика“ — поются преданными ежедневно и остаются сердцем Гаудия-садханы.",gold
srinivasa-acharya,Один из трёх великих распространителей наследия Госвами; принёс их книги в Бенгалию и обратил царя Бир Хамбира.,"Шри Шринивас Ачарья — один из трёх великих распространителей учения Гаудиев, наряду с Нароттамой и Шьяманандой. Он сыграл ключевую роль в распространении книг Госвами Вриндавана по Бенгалии.","Получив от Дживы Госвами поручение доставить книги Госвами в Бенгалию, Шринивас вёз драгоценные рукописи, но в пути их похитили по приказу царя. Разыскав книги, Шринивас своей проповедью обратил самого царя Бир Хамбира, ставшего преданным. Он установил по Бенгалии живую проповедь Гаудия-вайшнавизма и сложил прославленную молитву „Шад-госвами-аштаку“ во славу Шести Госвами.",gold
shyamananda-pandita,Один из трёх великих распространителей; принёс учение Гаудиев в Ориссу и удостоился особой милости Шримати Радхарани.,"Шри Шьямананда Пандит — один из трёх великих распространителей учения Гаудиев и тот, кто принёс преданность Гаудиев в Ориссу. Он изучал книги Госвами под руководством Дживы Госвами во Вриндаване.","На Радха-кунде Шьямананда нашёл ножной колокольчик (нупуру) Шримати Радхарани; по Её милости на его лбу появился особый знак, давший ему имя и его тилаку. Вернувшись, он широко распространил учение Гаудиев в Ориссе, а его виднейшим учеником стал Расикананда, продолживший проповедь.",gold
bhaktivinoda-thakura,"„Седьмой Госвами“ — великий ачарья XIX века, возродивший чистое учение Гаудия-вайшнавов; открыл место рождения Шри Чайтаньи и написал около ста книг.","Шрила Бхактивинода Тхакур (1838–1914), в миру Кедарнатх Датта, был высокообразованным человеком и государственным судьёй в Британской Индии и вместе с тем — глубочайшим преданным. Его почитают как „Седьмого Госвами“ за возрождение учения Шести Госвами Вриндавана в XIX веке.","Бхактивинода Тхакур в 1888 году открыл и восстановил Йогапитху — место рождения Шри Чайтаньи в Маяпуре — и написал около ста книг на бенгали, санскрите и английском, среди них „Джайва-дхарма“, „Шри Чайтанья-шикшамрита“, „Шаранагати“ и „Харинама-чинтамани“. Он основал проповедь нама-хатты и одним из первых отправил книгу о Махапрабху на Запад, предвидя всемирное движение санкиртаны. Его сыном и продолжателем стал Шрила Бхактисиддханта Сарасвати.",gold
gaurakishora-dasa-babaji,"Великий отрёкшийся святой-парамахамса, духовный учитель Бхактисиддханты Сарасвати; образец предельного отречения.","Шри Гауракишора дас Бабаджи — великий отрёкшийся святой-парамахамса гаудия-вайшнавской традиции, духовный учитель Бхактисиддханты Сарасвати Тхакура.","Гауракишора дас Бабаджи жил в предельном отречении, не имея пристанища и собственности, всецело погружённый в воспевание святого имени и памятование о Господе. Несмотря на внешнюю простоту, он был сокровищницей духовной мудрости. Он стал гуру Бхактисиддханты Сарасвати Тхакура, через которого его наследие достигло всего мира. Его жизнь являет высочайший образец отречения и преданности.",gold
bhaktisiddhanta-sarasvati,Великий ачарья и могучий проповедник; основал Гаудия-матх с десятками храмов и поручил Шриле Прабхупаде нести Сознание Кришны на Запад.,"Шрила Бхактисиддханта Сарасвати Тхакур (1874–1937), в миру Бимала Прасад, был сыном Бхактивиноды Тхакура и одним из величайших знатоков писаний своего времени, получившим за учёность титул „Сиддханта Сарасвати“. Он принял посвящение у отрёкшегося святого Гауры Кишоры даса Бабаджи.","Бхактисиддханта Сарасвати основал Гаудия-матх и установил по всей Индии шестьдесят четыре храма, возродив организованную проповедь. Он первым широко использовал печатный станок — „брихат-мридангу“ — выпуская книги и журналы, и смело отверг кастовость по рождению, утверждая даива-варнашраму. Своему ученику А. Ч. Бхактиведанте Свами он поручил нести Сознание Кришны на английском языке на Запад — наказ, из которого вырос ИСККОН.",gold
prabhupada,Шрила А. Ч. Бхактиведанта Свами Прабхупада (1896–1977) — ачарья-основатель ИСККОН.,По указанию своего гуру Бхактисиддханты Сарасвати Шрила Прабхупада в возрасте шестидесяти девяти лет отправился на Запад и в 1966 году основал ИСККОН. За двенадцать лет он перевёл и прокомментировал главные писания и распространил сознание Кришны по всему миру.,Основал ИСККОН и дал миру «Бхагавад-гиту как она есть» и «Шримад-Бхагаватам».,gold
krishna,"Изначальная Всепривлекающая Верховная Личность Бога. Источник всех форм Бога, всех аватар, всех энергий, всех отношений, всех духовных и материальных планет, всех подвижных и неподвижных живых существ.

Обитель Кришны — изначальная и наивысшая планета духовного мира, вечносвежая и цветущая Голока Дхама, Вриндаван.","Согласно «Шримад-Бхагаватам», Кришна — не аватара, а Сам источник всех воплощений (кришнас ту бхагаван свайам). Около пяти тысяч лет назад Он явил Свои игры во Врадже, Матхуре и Двараке и поведал миру «Бхагавад-гиту».",Источник всего сущего; поведал «Бхагавад-гиту» и явил вечные игры Враджа.,gold
radharani,Олицетворение энергии наслаждения Господа (хладини-шакти) и высшая возлюбленная Шри Кришны; источник всех богинь процветания и вершина чистой любви к Богу.,"Шримати Радхарани — вечная супруга Шри Кришны и Его энергия наслаждения. Во Враджа-лиле Она является как дочь царя Вришабхану и матери Киртиды, драгоценность Барсаны, и становится средоточием всех игр Господа во Вриндаване, окружённая восемью главными гопи во главе с Лалитой и Вишакхой.","Радхарани воплощает маха-бхаву, высшую любовь к Богу, и являет идеал безраздельной преданности. Ради того чтобы изведать величие Её любви, Кришна нисшёл как Шри Чайтанья, приняв Её настроение и сияние. Высшая цель Гаудия-вайшнавов — служение Радхарани в настроении Её служанок (манджари-бхава), и потому преданные взывают к Её имени прежде имени Кришны.",gold
haridasa-thakura,Намачарья — учитель святого имени; ежедневно повторял триста тысяч имён Кришны и явил образец стойкости и прощения.,"Шри Харидас Тхакур — Намачарья, учитель воспевания святого имени, и один из ближайших спутников Шри Чайтаньи. Ежедневно он повторял триста тысяч имён Кришны, явив высший образец преданности святому имени.","Рождённый в мусульманской семье, Харидас стал величайшим преданным, показав, что преданность превыше происхождения. По приказу кази его избивали на двадцати двух базарах, но он, поглощённый воспеванием, оставался невредим и молился о благе своих мучителей. Он обратил даже блудницу, подосланную, чтобы соблазнить его. Шри Чайтанья поселил его в Пури, а при его уходе Сам держал его тело, танцевал и совершил погребальный обряд, провозгласив его Намачарьей.",gold
ramananda-raya,"Шри Рамананда Рай — близкий спутник Махапрабху, знаток высшей расы.","Шри Рамананда Рай, наместник и великий преданный, в беседах на берегу Годавари раскрыл Махапрабху ступени преданности вплоть до настроения гопи. Его считают воплощением гопи Вишакхи.",В беседах с Махапрабху изложил высшую цель — прему в настроении Вриндавана.,gold
svarupa-damodara,Шри Сварупа Дамодара — личный секретарь Махапрабху в Пури.,"Шри Сварупа Дамодара был ближайшим спутником Махапрабху в Джаганнатха-Пури и проверял всю литературу и музыку, что подносили Господу. Его считают проявлением Лалиты.",Хранил чистоту учения и сокровенные настроения Махапрабху.,gold
sarvabhauma-bhattacharya,"Величайший учёный-ведантист своего времени, обращённый Шри Чайтаньей; образец знания, преображённого преданностью.","Шри Сарвабхаума Бхаттачарья — величайший знаток веданты и логики своего времени, живший в Джаганнатха-Пури. Встретив Шри Чайтанью, он из убеждённого имперсоналиста стал Его великим преданным.","Увидев в Чайтанье лишь юного санньяси, Сарвабхаума взялся обучить Его философии майявады. Но Господь опроверг имперсонализм и явил Свой божественный облик, и потрясённый учёный предался Ему, сложив прекрасные молитвы во славу Махапрабху. Свою непревзойдённую учёность он обратил на служение Господу, явив образец того, как знание преображается преданностью.",gold
madhavendra-puri,Росток древа любви к Богу в Гаудия-парампаре; первым явил чистую прему в разлуке и стал духовным предком Шри Чайтаньи.,"Шрила Мадхавендра Пури — великий санньяси, которого Кришнадас Кавираджа называет ростком (анкурой) древа желаний чистой любви к Богу. В цепи Гаудиев он первым явил чистую прему в настроении разлуки с Кришной и стал духовным предком Шри Чайтаньи.","Мадхавендра Пури обнаружил на холме Говардхана Божество Гопала и установил Ему поклонение, а в Ремуне Господь Гопинатха похитил для него горшок сгущённого молока, явив игру „Кшира-чора Гопинатхи“. Его стих о разлуке „айи дина-дайардра натха хе“ Шри Чайтанья постоянно повторял до конца жизни. Будучи гуру Ишвары Пури — духовного учителя Махапрабху, — Мадхавендра Пури стал корнем, через который чистая любовь нисошла к Шри Чайтанье.",gold
ishvara-puri,Шрила Ишвара Пури — духовный учитель Шри Чайтаньи.,"Шрила Ишвара Пури, ученик Мадхавендры Пури, служил своему гуру с великой преданностью и стал дикша-гуру Шри Чайтаньи Махапрабху.","Дикша-гуру Шри Чайтаньи Махапрабху: даровал Ему мантру в Гае, положив видимое начало Его лиле проповеди. Ученик Мадхавендры Пури, чьё самоотверженное служение гуру Махапрабху ставил в высший пример.",gold
lokanatha-goswami,"Отрёкшийся Госвами Вриндавана, избегавший славы; гуру Нароттамы даса Тхакура и хранитель Божества Радха-винода.","Шри Локанатха Госвами — один из ранних Госвами Вриндавана и великий отшельник, живший в крайнем смирении и уединении. Он избегал всякой славы и почестей, всецело поглощённый бхаджаном.","Локанатха Госвами не желал принимать учеников, дабы не отвлекаться от служения, но Нароттама дас Тхакур тайным служением завоевал его сердце, и он принял его как своего единственного ученика. Он обнаружил и с любовью почитал Божество Радха-винода. Своей жизнью он явил высший образец смиренной, сокрытой от мира преданности.",gold
lalita,Главная из восьми ближайших гопи Радхарани; смелая и преданная защитница Её любви.,Шри Лалита-деви — главная из восьми ближайших подруг (ашта-сакхи) Шримати Радхарани и предводительница гопи Вриндавана. Она лишь немного старше Радхи и предана Ей всем сердцем.,"Лалита неустанно устраивает и оберегает любовные игры Радхи и Кришны, не страшась ни преград, ни самого Кришны, если речь идёт о благе Радхарани. Её нрав смел и прямодушен (вамья), исполнен любящего негодования. Возглавляя собственную группу гопи, она занимает центральное место во всех играх Божественной Четы и в раса-лиле.",gold
vishakha,"Вторая из восьми ближайших гопи Радхарани; искусница и вестница, рождённая в один день с Радхой.","Шри Вишакха-деви — одна из двух главных среди восьми ближайших подруг (ашта-сакхи) Шримати Радхарани, равная Лалите в любви к Ней. По преданию, она родилась в тот же день, что и Радхарани.","Вишакха в совершенстве владеет всеми изящными искусствами — живописью, музыкой, составлением посланий — и служит доверенной вестницей между Радхой и Кришной. Её нрав мягок и сладостен (дакшина). Возглавляя свою группу гопи, она неустанно устраивает любовные игры Божественной Четы во Вриндаване.",gold
madhumangala,"Брахман-пастушок, весёлый шутник в играх Кришны; его юмор оживляет дружеские забавы Враджа.","Шри Мадхумангала — брахманский мальчик-пастушок и близкий друг Шри Кришны, прославленный как весёлый шутник (видушака) Его игр.","Мадхумангала, любитель сладостей и шуток, вносит смех и веселье в игры Кришны, оживляя каждое мгновение. Его комическая дружба — драгоценная часть сакхья-расы, показывающая, что Господь наслаждается и шутливой, непринуждённой любовью. Как вечный спутник Враджа, он всегда готов служить Кришне с юмором и преданностью.",gold
upananda,"Старший и мудрый пастух Враджа, брат Нанды; по его совету пастухи переселились во Вриндаван ради безопасности Кришны.","Шри Упананда — старший и наиболее рассудительный из пастухов Враджа, брат Махараджи Нанды. Его мудрый совет описан в Десятой песни «Шримад-Бхагаватам».","Когда во Врадже одно за другим стали являться грозные знамения и демоны, угрожавшие младенцу Кришне, старейшина пастухов Упананда созвал собрание и мудро посоветовал переселиться во Вриндаван — в безопасные и благодатные леса. Его рассудительность послужила защите Господа и Его игр. Упананда являет образец почтенного старшего, чья мудрость служит Кришне.",gold
prahlada,"Великий преданный-дитя, защищённый Господом Нрисимхой; один из двенадцати махаджан и образец чистой преданности и терпения.","Шри Прахлада Махарадж — великий преданный, явивший чистую любовь к Богу с самого детства, и один из двенадцати махаджан. Он родился сыном демона-царя Хираньякашипу, но был предан Господу Вишну с момента рождения.","Ещё в утробе матери Прахлада внимал наставлениям Нарады и потому стал чистым преданным. В школе он учил детей демонов науке преданности — девяти её видам, начиная со слушания и воспевания. Несмотря на жестокие гонения отца, он оставался невредим, и ради него Господь явился как Нрисимха. Прахлада — вечный образец терпения, бесстрашия и сострадания: он молился даже об освобождении своего отца-гонителя.",gold
dhruva,"Царевич-ребёнок, что суровой аскезой достиг Господа и обрёл вечную Полярную звезду (Дхрува-локу); образец решимости.","Шри Дхрува Махарадж — прославленный преданный, ещё пятилетним ребёнком оставивший дворец ради поисков Бога. Уязвлённый словами мачехи, он ушёл в лес, чтобы найти Господа, и явил миру образец непоколебимой решимости.","Наставленный мудрецом Нарадой, Дхрува с единым устремлением совершал суровую аскезу, пока перед ним не предстал Сам Господь Вишну и не коснулся его Своей раковиной. Хотя вначале мальчик искал царство больше отцовского, увидев Господа, он пожелал лишь Его одного. В награду он получил вечную, неподвижную планету — Полярную звезду (Дхрува-локу), и поныне его имя означает стойкость и решимость в духовной жизни.",gold
